class,age,expID,sessionID,filename,valid
rabbit,6,cdmrunv3,1528836281409.png,rabbit_sketch_age6_cdm_run_v31528836281409.png,1
car,5,cdmrunv3,1534277725122.png,car_sketch_age5_cdm_run_v31534277725122.png,1
scissors,5,cdmrunv4,1541616048489.png,scissors_sketch_age5_cdm_run_v41541616048489.png,1
frog,5,cdmrunv4,1541981358856.png,frog_sketch_age5_cdm_run_v41541981358856.png,1
cup,9,cdmrunv3,1533161571311.png,cup_sketch_age9_cdm_run_v31533161571311.png,1
couch,6,cdmrunv3,1528913040688.png,couch_sketch_age6_cdm_run_v31528913040688.png,1
car,3,cdmrunv3,1534118396921.png,car_sketch_age3_cdm_run_v31534118396921.png,1
chair,5,cdmrunv3,1530732171052.png,chair_sketch_age5_cdm_run_v31530732171052.png,1
dog,2,cdmrunv3,1534711139210.png,dog_sketch_age2_cdm_run_v31534711139210.png,1
key,5,cdmrunv4,1540068440653.png,key_sketch_age5_cdm_run_v41540068440653.png,1
sheep,2,cdmrunv4,1539459134057.png,sheep_sketch_age2_cdm_run_v41539459134057.png,1
boat,4,cdmrunv3,1533231737382.png,boat_sketch_age4_cdm_run_v31533231737382.png,1
boat,10,cdmrunv3,1533763635775.png,boat_sketch_age10_cdm_run_v31533763635775.png,1
tree,3,cdmrunv3,1533757367391.png,tree_sketch_age3_cdm_run_v31533757367391.png,1
cup,5,cdmrunv3,1526492191665.png,cup_sketch_age5_cdm_run_v31526492191665.png,1
couch,6,cdmrunv3,1528663382629.png,couch_sketch_age6_cdm_run_v31528663382629.png,1
frog,7,cdmrunv4,1541795950259.png,frog_sketch_age7_cdm_run_v41541795950259.png,1
cat,5,cdmrunv4,1541188763962.png,cat_sketch_age5_cdm_run_v41541188763962.png,1
scissors,6,cdmrunv4,1542059035613.png,scissors_sketch_age6_cdm_run_v41542059035613.png,1
scissors,3,cdmrunv4,1538940667434.png,scissors_sketch_age3_cdm_run_v41538940667434.png,1
house,5,cdmrunv3,1525976865876.png,house_sketch_age5_cdm_run_v31525976865876.png,1
tree,4,cdmrunv3,1534286468797.png,tree_sketch_age4_cdm_run_v31534286468797.png,1
person,5,cdmrunv3,1526158807742.png,person_sketch_age5_cdm_run_v31526158807742.png,1
phone,5,cdmrunv3,1531769881846.png,phone_sketch_age5_cdm_run_v31531769881846.png,1
cat,10,cdmrunv4,1541187472978.png,cat_sketch_age10_cdm_run_v41541187472978.png,1
bird,4,cdmrunv3,1531506812090.png,bird_sketch_age4_cdm_run_v31531506812090.png,1
bike,3,cdmrunv3,1531774926854.png,bike_sketch_age3_cdm_run_v31531774926854.png,1
boat,6,cdmrunv3,1526168752022.png,boat_sketch_age6_cdm_run_v31526168752022.png,1
cup,7,cdmrunv3,1526598717979.png,cup_sketch_age7_cdm_run_v31526598717979.png,1
chair,9,cdmrunv3,1528835999112.png,chair_sketch_age9_cdm_run_v31528835999112.png,1
bike,2,cdmrunv3,1527968860506.png,bike_sketch_age2_cdm_run_v31527968860506.png,1
tree,6,cdmrunv3,1534544826607.png,tree_sketch_age6_cdm_run_v31534544826607.png,1
phone,2,cdmrunv4,1541622824640.png,phone_sketch_age2_cdm_run_v41541622824640.png,1
bike,9,cdmrunv3,1531594948181.png,bike_sketch_age9_cdm_run_v31531594948181.png,1
bird,2,cdmrunv3,1528137599244.png,bird_sketch_age2_cdm_run_v31528137599244.png,1
phone,2,cdmrunv3,1531598283011.png,phone_sketch_age2_cdm_run_v31531598283011.png,1
key,3,cdmrunv4,1537050975650.png,key_sketch_age3_cdm_run_v41537050975650.png,1
bike,2,cdmrunv3,1530817954419.png,bike_sketch_age2_cdm_run_v31530817954419.png,1
chair,3,cdmrunv3,1528841058316.png,chair_sketch_age3_cdm_run_v31528841058316.png,1
key,3,cdmrunv4,1541881695774.png,key_sketch_age3_cdm_run_v41541881695774.png,1
boat,7,cdmrunv3,1533678925659.png,boat_sketch_age7_cdm_run_v31533678925659.png,1
cat,4,cdmrunv4,1538857640316.png,cat_sketch_age4_cdm_run_v41538857640316.png,1
fish,7,cdmrunv3,1534720323484.png,fish_sketch_age7_cdm_run_v31534720323484.png,1
cat,7,cdmrunv4,1537140916863.png,cat_sketch_age7_cdm_run_v41537140916863.png,1
house,5,cdmrunv3,1532810666315.png,house_sketch_age5_cdm_run_v31532810666315.png,1
sheep,6,cdmrunv4,1541892178571.png,sheep_sketch_age6_cdm_run_v41541892178571.png,1
key,4,cdmrunv4,1542146783031.png,key_sketch_age4_cdm_run_v41542146783031.png,1
chair,4,cdmrunv3,1530570725182.png,chair_sketch_age4_cdm_run_v31530570725182.png,1
house,3,cdmrunv3,1526677237307.png,house_sketch_age3_cdm_run_v31526677237307.png,1
airplane,8,cdmrunv3,1531686508439.png,airplane_sketch_age8_cdm_run_v31531686508439.png,1
couch,2,cdmrunv3,1529272799029.png,couch_sketch_age2_cdm_run_v31529272799029.png,1
person,3,cdmrunv3,1533066786581.png,person_sketch_age3_cdm_run_v31533066786581.png,1
key,2,cdmrunv4,1540073131886.png,key_sketch_age2_cdm_run_v41540073131886.png,1
sheep,5,cdmrunv4,1541885475463.png,sheep_sketch_age5_cdm_run_v41541885475463.png,1
bird,7,cdmrunv3,1532117429606.png,bird_sketch_age7_cdm_run_v31532117429606.png,1
fish,9,cdmrunv3,1533935389277.png,fish_sketch_age9_cdm_run_v31533935389277.png,1
bike,10,cdmrunv3,1531507880328.png,bike_sketch_age10_cdm_run_v31531507880328.png,1
bike,2,cdmrunv3,1530383494535.png,bike_sketch_age2_cdm_run_v31530383494535.png,1
chair,4,cdmrunv3,1532122767230.png,chair_sketch_age4_cdm_run_v31532122767230.png,1
cat,3,cdmrunv4,1537734992994.png,cat_sketch_age3_cdm_run_v41537734992994.png,1
sheep,5,cdmrunv4,1540491126434.png,sheep_sketch_age5_cdm_run_v41540491126434.png,1
frog,6,cdmrunv4,1542059035613.png,frog_sketch_age6_cdm_run_v41542059035613.png,1
dog,3,cdmrunv3,1534016115094.png,dog_sketch_age3_cdm_run_v31534016115094.png,1
house,5,cdmrunv3,1534719241030.png,house_sketch_age5_cdm_run_v31534719241030.png,1
key,6,cdmrunv4,1541797726206.png,key_sketch_age6_cdm_run_v41541797726206.png,1
house,4,cdmrunv3,1532546118317.png,house_sketch_age4_cdm_run_v31532546118317.png,1
frog,3,cdmrunv4,1538940667434.png,frog_sketch_age3_cdm_run_v41538940667434.png,1
couch,6,cdmrunv3,1531515586470.png,couch_sketch_age6_cdm_run_v31531515586470.png,1
airplane,6,cdmrunv3,1531341474003.png,airplane_sketch_age6_cdm_run_v31531341474003.png,1
person,6,cdmrunv3,1533243618682.png,person_sketch_age6_cdm_run_v31533243618682.png,1
bird,5,cdmrunv3,1528659599227.png,bird_sketch_age5_cdm_run_v31528659599227.png,1
scissors,7,cdmrunv4,1541795950259.png,scissors_sketch_age7_cdm_run_v41541795950259.png,1
rabbit,8,cdmrunv3,1531693363638.png,rabbit_sketch_age8_cdm_run_v31531693363638.png,1
boat,4,cdmrunv3,1534449229154.png,boat_sketch_age4_cdm_run_v31534449229154.png,1
train,7,cdmrunv4,1540163229855.png,train_sketch_age7_cdm_run_v41540163229855.png,1
cup,10,cdmrunv3,1533504291856.png,cup_sketch_age10_cdm_run_v31533504291856.png,1
scissors,5,cdmrunv4,1541981358856.png,scissors_sketch_age5_cdm_run_v41541981358856.png,1
cat,5,cdmrunv4,1540064328979.png,cat_sketch_age5_cdm_run_v41540064328979.png,1
fish,5,cdmrunv3,1534446395527.png,fish_sketch_age5_cdm_run_v31534446395527.png,1
bike,6,cdmrunv3,1531685252808.png,bike_sketch_age6_cdm_run_v31531685252808.png,1
bird,10,cdmrunv3,1532120837108.png,bird_sketch_age10_cdm_run_v31532120837108.png,1
car,2,cdmrunv3,1526493522883.png,car_sketch_age2_cdm_run_v31526493522883.png,1
bird,7,cdmrunv3,1528999012122.png,bird_sketch_age7_cdm_run_v31528999012122.png,1
frog,5,cdmrunv4,1541616048489.png,frog_sketch_age5_cdm_run_v41541616048489.png,1
house,10,cdmrunv3,1532984475063.png,house_sketch_age10_cdm_run_v31532984475063.png,1
cat,7,cdmrunv4,1542067604438.png,cat_sketch_age7_cdm_run_v41542067604438.png,1
boat,3,cdmrunv3,1532628744542.png,boat_sketch_age3_cdm_run_v31532628744542.png,1
boat,3,cdmrunv3,1534792432132.png,boat_sketch_age3_cdm_run_v31534792432132.png,1
phone,3,cdmrunv4,1541008783036.png,phone_sketch_age3_cdm_run_v41541008783036.png,1
train,4,cdmrunv4,1537651409997.png,train_sketch_age4_cdm_run_v41537651409997.png,1
fish,7,cdmrunv3,1534632665288.png,fish_sketch_age7_cdm_run_v31534632665288.png,1
fish,3,cdmrunv3,1533932206069.png,fish_sketch_age3_cdm_run_v31533932206069.png,1
bike,3,cdmrunv3,1531423812881.png,bike_sketch_age3_cdm_run_v31531423812881.png,1
airplane,3,cdmrunv3,1530562825622.png,airplane_sketch_age3_cdm_run_v31530562825622.png,1
tree,7,cdmrunv3,1535231468323.png,tree_sketch_age7_cdm_run_v31535231468323.png,1
dog,3,cdmrunv3,1527801844607.png,dog_sketch_age3_cdm_run_v31527801844607.png,1
couch,3,cdmrunv3,1528572105805.png,couch_sketch_age3_cdm_run_v31528572105805.png,1
tree,8,cdmrunv3,1535838516023.png,tree_sketch_age8_cdm_run_v31535838516023.png,1
tree,8,cdmrunv3,1534199471118.png,tree_sketch_age8_cdm_run_v31534199471118.png,1
person,8,cdmrunv3,1532980106776.png,person_sketch_age8_cdm_run_v31532980106776.png,1
couch,3,cdmrunv3,1529359199193.png,couch_sketch_age3_cdm_run_v31529359199193.png,1
dog,4,cdmrunv3,1535138252650.png,dog_sketch_age4_cdm_run_v31535138252650.png,1
rabbit,3,cdmrunv3,1529178852031.png,rabbit_sketch_age3_cdm_run_v31529178852031.png,1
dog,7,cdmrunv3,1534532877198.png,dog_sketch_age7_cdm_run_v31534532877198.png,1
dog,5,cdmrunv3,1526766708947.png,dog_sketch_age5_cdm_run_v31526766708947.png,1
bowl,3,cdmrunv3,1532030296293.png,bowl_sketch_age3_cdm_run_v31532030296293.png,1
house,2,cdmrunv3,1535231019800.png,house_sketch_age2_cdm_run_v31535231019800.png,1
bike,4,cdmrunv3,1530744749634.png,bike_sketch_age4_cdm_run_v31530744749634.png,1
bird,6,cdmrunv3,1528665810605.png,bird_sketch_age6_cdm_run_v31528665810605.png,1
bike,2,cdmrunv3,1531509796375.png,bike_sketch_age2_cdm_run_v31531509796375.png,1
house,6,cdmrunv3,1532803981048.png,house_sketch_age6_cdm_run_v31532803981048.png,1
cat,2,cdmrunv4,1541712876369.png,cat_sketch_age2_cdm_run_v41541712876369.png,1
key,6,cdmrunv4,1542053180845.png,key_sketch_age6_cdm_run_v41542053180845.png,1
cup,4,cdmrunv3,1534875113287.png,cup_sketch_age4_cdm_run_v31534875113287.png,1
house,6,cdmrunv3,1533669370613.png,house_sketch_age6_cdm_run_v31533669370613.png,1
phone,2,cdmrunv3,1531604038450.png,phone_sketch_age2_cdm_run_v31531604038450.png,1
cup,10,cdmrunv3,1532638309368.png,cup_sketch_age10_cdm_run_v31532638309368.png,1
car,10,cdmrunv3,1532984475063.png,car_sketch_age10_cdm_run_v31532984475063.png,1
tree,5,cdmrunv3,1534268537168.png,tree_sketch_age5_cdm_run_v31534268537168.png,1
fish,8,cdmrunv3,1533590307084.png,fish_sketch_age8_cdm_run_v31533590307084.png,1
phone,3,cdmrunv4,1542062414745.png,phone_sketch_age3_cdm_run_v41542062414745.png,1
dog,6,cdmrunv3,1535325173638.png,dog_sketch_age6_cdm_run_v31535325173638.png,1
cup,4,cdmrunv3,1533755364261.png,cup_sketch_age4_cdm_run_v31533755364261.png,1
bike,3,cdmrunv3,1530658602412.png,bike_sketch_age3_cdm_run_v31530658602412.png,1
cup,5,cdmrunv3,1535744931551.png,cup_sketch_age5_cdm_run_v31535744931551.png,1
bowl,8,cdmrunv3,1527960599358.png,bowl_sketch_age8_cdm_run_v31527960599358.png,1
car,7,cdmrunv3,1526060708396.png,car_sketch_age7_cdm_run_v31526060708396.png,1
scissors,2,cdmrunv4,1541187105124.png,scissors_sketch_age2_cdm_run_v41541187105124.png,1
phone,3,cdmrunv3,1528485599158.png,phone_sketch_age3_cdm_run_v31528485599158.png,1
chair,4,cdmrunv3,1530478955787.png,chair_sketch_age4_cdm_run_v31530478955787.png,1
house,6,cdmrunv3,1533404434586.png,house_sketch_age6_cdm_run_v31533404434586.png,1
fish,9,cdmrunv3,1534710906453.png,fish_sketch_age9_cdm_run_v31534710906453.png,1
fish,5,cdmrunv3,1535917520092.png,fish_sketch_age5_cdm_run_v31535917520092.png,1
house,5,cdmrunv3,1534368870242.png,house_sketch_age5_cdm_run_v31534368870242.png,1
dog,3,cdmrunv3,1533246512058.png,dog_sketch_age3_cdm_run_v31533246512058.png,1
bike,5,cdmrunv3,1531417993060.png,bike_sketch_age5_cdm_run_v31531417993060.png,1
tree,8,cdmrunv3,1533418945318.png,tree_sketch_age8_cdm_run_v31533418945318.png,1
fish,7,cdmrunv3,1535229309764.png,fish_sketch_age7_cdm_run_v31535229309764.png,1
train,8,cdmrunv4,1541268057770.png,train_sketch_age8_cdm_run_v41541268057770.png,1
key,7,cdmrunv4,1537138613105.png,key_sketch_age7_cdm_run_v41537138613105.png,1
fish,4,cdmrunv3,1535232802285.png,fish_sketch_age4_cdm_run_v31535232802285.png,1
phone,3,cdmrunv3,1530820644765.png,phone_sketch_age3_cdm_run_v31530820644765.png,1
key,10,cdmrunv4,1536446273758.png,key_sketch_age10_cdm_run_v41536446273758.png,1
car,4,cdmrunv3,1534622195685.png,car_sketch_age4_cdm_run_v31534622195685.png,1
