class,age,expID,sessionID,filename,valid
airplane,10,cdmrunv3,1528749906104.png,airplane_sketch_age10_cdm_run_v31528749906104.png,1
airplane,10,cdmrunv3,1528750199149.png,airplane_sketch_age10_cdm_run_v31528750199149.png,1
airplane,10,cdmrunv3,1529008817526.png,airplane_sketch_age10_cdm_run_v31529008817526.png,1
airplane,10,cdmrunv3,1529009014785.png,airplane_sketch_age10_cdm_run_v31529009014785.png,1
airplane,2,cdmrunv3,1531602697091.png,airplane_sketch_age2_cdm_run_v31531602697091.png,1
airplane,2,cdmrunv3,1531604038450.png,airplane_sketch_age2_cdm_run_v31531604038450.png,1
airplane,2,cdmrunv3,1531604412388.png,airplane_sketch_age2_cdm_run_v31531604412388.png,1
airplane,3,cdmrunv3,1530475738016.png,airplane_sketch_age3_cdm_run_v31530475738016.png,1
airplane,3,cdmrunv3,1530482623512.png,airplane_sketch_age3_cdm_run_v31530482623512.png,1
airplane,3,cdmrunv3,1530483097040.png,airplane_sketch_age3_cdm_run_v31530483097040.png,1
airplane,3,cdmrunv3,1530820644765.png,airplane_sketch_age3_cdm_run_v31530820644765.png,1
airplane,3,cdmrunv3,1531337830904.png,airplane_sketch_age3_cdm_run_v31531337830904.png,1
airplane,3,cdmrunv3,1531338718908.png,airplane_sketch_age3_cdm_run_v31531338718908.png,1
airplane,3,cdmrunv3,1531351017862.png,airplane_sketch_age3_cdm_run_v31531351017862.png,1
airplane,3,cdmrunv3,1531353094485.png,airplane_sketch_age3_cdm_run_v31531353094485.png,1
airplane,3,cdmrunv3,1531423486313.png,airplane_sketch_age3_cdm_run_v31531423486313.png,1
airplane,3,cdmrunv3,1531425616557.png,airplane_sketch_age3_cdm_run_v31531425616557.png,1
airplane,3,cdmrunv3,1531427310944.png,airplane_sketch_age3_cdm_run_v31531427310944.png,1
airplane,3,cdmrunv3,1531427886979.png,airplane_sketch_age3_cdm_run_v31531427886979.png,1
airplane,5,cdmrunv3,1531432311575.png,airplane_sketch_age5_cdm_run_v31531432311575.png,1
airplane,5,cdmrunv3,1531510996461.png,airplane_sketch_age5_cdm_run_v31531510996461.png,1
airplane,5,cdmrunv3,1531521447859.png,airplane_sketch_age5_cdm_run_v31531521447859.png,1
airplane,5,cdmrunv3,1531607084953.png,airplane_sketch_age5_cdm_run_v31531607084953.png,1
airplane,5,cdmrunv3,1531608572760.png,airplane_sketch_age5_cdm_run_v31531608572760.png,1
airplane,5,cdmrunv3,1531612336103.png,airplane_sketch_age5_cdm_run_v31531612336103.png,1
airplane,5,cdmrunv3,1531769881846.png,airplane_sketch_age5_cdm_run_v31531769881846.png,1
airplane,5,cdmrunv3,1532122045716.png,airplane_sketch_age5_cdm_run_v31532122045716.png,1
airplane,6,cdmrunv3,1528136999209.png,airplane_sketch_age6_cdm_run_v31528136999209.png,1
airplane,6,cdmrunv3,1528229399210.png,airplane_sketch_age6_cdm_run_v31528229399210.png,1
airplane,6,cdmrunv3,1528320073908.png,airplane_sketch_age6_cdm_run_v31528320073908.png,1
airplane,8,cdmrunv3,1531686508439.png,airplane_sketch_age8_cdm_run_v31531686508439.png,1
bear,3,cdmrunv4,1540071870507.png,bear_sketch_age3_cdm_run_v41540071870507.png,1
bear,3,cdmrunv4,1540075054882.png,bear_sketch_age3_cdm_run_v41540075054882.png,1
bear,3,cdmrunv4,1540077574466.png,bear_sketch_age3_cdm_run_v41540077574466.png,1
bear,3,cdmrunv4,1540156085249.png,bear_sketch_age3_cdm_run_v41540156085249.png,1
bear,4,cdmrunv4,1537562088878.png,bear_sketch_age4_cdm_run_v41537562088878.png,1
bear,4,cdmrunv4,1537566219317.png,bear_sketch_age4_cdm_run_v41537566219317.png,1
bear,4,cdmrunv4,1537648285719.png,bear_sketch_age4_cdm_run_v41537648285719.png,1
bear,4,cdmrunv4,1537651409997.png,bear_sketch_age4_cdm_run_v41537651409997.png,1
bear,4,cdmrunv4,1537656198436.png,bear_sketch_age4_cdm_run_v41537656198436.png,1
bear,4,cdmrunv4,1538847806009.png,bear_sketch_age4_cdm_run_v41538847806009.png,1
bear,4,cdmrunv4,1538852792832.png,bear_sketch_age4_cdm_run_v41538852792832.png,1
bear,4,cdmrunv4,1539971036537.png,bear_sketch_age4_cdm_run_v41539971036537.png,1
bear,6,cdmrunv4,1539981077129.png,bear_sketch_age6_cdm_run_v41539981077129.png,1
